,Especificação,Classe,Tipo
auxserv_6_1_21_195,"Assessoria, consultoria e informação em treinamento [demonstração][ensino]",41,s
auxserv_6_1_21_196,"Assessoria, consultoria e informação em viagem e turismo",39,s
auxserv_6_1_21_197,"Assessoria, consultoria e informação em viagens [alojamento e reservas]",43,s
auxserv_6_1_21_198,"Assessoria, consultoria e informação empresarial",35,s
auxserv_6_1_21_199,"Assessoria, consultoria e informação ensino",41,s
auxserv_6_1_21_200,"Assessoria, consultoria e informação especializada em matéria de previdência privada",36,s
auxserv_6_1_21_201,"Assessoria, consultoria e informação médica",44,s
auxserv_6_1_21_202,"Assessoria, consultoria e informação na área de espiritualidade, autoajuda e fortalecimento pessoal em assuntos de 
caráter subjetivo",45,s
auxserv_6_1_21_203,"Assessoria, consultoria e informação na área de gerenciamento de tempo voltado para propósitos pessoais",45,s
auxserv_6_1_21_204,"Assessoria, consultoria e informação na área de horticultura de parreirais",44,s
auxserv_6_1_21_205,"Assessoria, consultoria e informação na área de inteligência em segurança pública",45,s
auxserv_6_1_21_206,"Assessoria, consultoria e informação na área de proteção contra incêndio",45,s
auxserv_6_1_21_207,"Assessoria, consultoria e informação na área de segurança e proteção à criança",45,s
auxserv_6_1_21_208,"Assessoria, consultoria e informação na área de segurança nacional",45,s
auxserv_6_1_21_209,"Assessoria, consultoria e informação na área econômico-financeira",36,s
auxserv_6_1_21_210,"Assessoria, consultoria e informação na área médica",44,s
auxserv_6_1_21_211,"Assessoria, consultoria e informação na área militar [estratégias e táticas militares]",45,s
auxserv_6_1_21_212,"Assessoria, consultoria e informação na implantação e viabilização de sistema de franquia",35,s
auxserv_6_1_21_213,"Assessoria, consultoria e informação no campo da automação de locais de trabalho",42,s
auxserv_6_1_21_214,"Assessoria, consultoria e informação no campo da física",42,s
auxserv_6_1_21_215,"Assessoria, consultoria e informação no campo da saúde e da medicina",44,s
auxserv_6_1_21_216,"Assessoria, consultoria e informação no campo da segurança da informática",42,s
auxserv_6_1_21_217,"Assessoria, consultoria e informação no campo da seleção, implementação e uso dos sistemas hardware e software para 
terceiros",42,s
auxserv_6_1_21_218,"Assessoria, consultoria e informação odontológica",44,s
auxserv_6_1_21_219,"Assessoria, consultoria e informação relacionadas ao planejamento, análise, gestão e organização de negócios para empresas",35,s
auxserv_6_1_21_220,"Assessoria, consultoria e informação relativa à produção de alimento",43,s
auxserv_6_1_21_221,"Assessoria, consultoria e informação sobre aplicação de pesticidas e sobre resíduos de pesticidas em alimentos",44,s
auxserv_6_1_21_222,"Assessoria, consultoria e informação sobre as tendências da moda [personal stylist]",45,s
auxserv_6_1_21_223,"Assessoria, consultoria e informação sobre assuntos jurídicos",45,s
auxserv_6_1_21_224,"Assessoria, consultoria e informação sobre astrologia",45,s
auxserv_6_1_21_225,"Assessoria, consultoria e informação sobre autoajuda",45,s
auxserv_6_1_21_226,"Assessoria, consultoria e informação sobre beleza",44,s
auxserv_6_1_21_227,"Assessoria, consultoria e informação sobre busca de dados em arquivos de computador para terceiros",35,s
auxserv_6_1_21_228,"Assessoria, consultoria e informação sobre cuidados médicos",44,s
auxserv_6_1_21_229,"Assessoria, consultoria e informação sobre desenvolvimento de produtos",42,s
auxserv_6_1_21_230,"Assessoria, consultoria e informação sobre doenças mentais",44,s
auxserv_6_1_21_231,"Assessoria, consultoria e informação sobre eleições políticas",35,s
auxserv_6_1_21_232,"Assessoria, consultoria e informação sobre gerenciamento de copyright [direito de autor]",45,s
auxserv_6_1_21_233,"Assessoria, consultoria e informação sobre gestão de negócios no campo da propriedade intelectual",35,s
auxserv_6_1_21_234,"Assessoria, consultoria e informação sobre gestão governamental",35,s
auxserv_6_1_21_235,"Assessoria, consultoria e informação sobre imposto de renda",35,s
auxserv_6_1_21_236,"Assessoria, consultoria e informação sobre leilões",35,s
auxserv_6_1_21_237,"Assessoria, consultoria e informação sobre meteorologia e condições climáticas ligadas ao fechamento de estradas e 
condições para determinados esportes",42,s
auxserv_6_1_21_238,"Assessoria, consultoria e informação sobre motivação e crescimento pessoal",45,s
auxserv_6_1_21_239,"Assessoria, consultoria e informação sobre negociações trabalhistas [serviços jurídicos]",45,s
auxserv_6_1_21_240,"Assessoria, consultoria e informação sobre o vinho e suas características",43,s
auxserv_6_1_21_241,"Assessoria, consultoria e informação sobre oportunidades de negócio",35,s
auxserv_6_1_21_242,"Assessoria, consultoria e informação sobre organização de feiras para fins comerciais ou publicitários",35,s
auxserv_6_1_21_243,"Assessoria, consultoria e informação sobre pesquisas científicas no campo da bioquímica e biotecnologia",42,s
auxserv_6_1_21_244,"Assessoria, consultoria e informação sobre pesquisas de cosméticos",42,s
auxserv_6_1_21_245,"Assessoria, consultoria e informação sobre pesquisas de opinião",35,s
auxserv_6_1_21_246,"Assessoria, consultoria e informação sobre planos de saúde",36,s
auxserv_6_1_21_247,"Assessoria, consultoria e informação sobre publicidade através de mala direta",35,s
auxserv_6_1_21_248,"Assessoria, consultoria e informação sobre reprodução de documentos",35,s
auxserv_6_1_21_249,"Assessoria, consultoria e informação sobre seguros de saúde",36,s
auxserv_6_1_21_250,"Assessoria, consultoria e informação sobre serviços legais no campo das leis de privacidade e segurança, normas e 
regulamentos",45,s
auxserv_6_1_21_251,"Assessoria, consultoria e informação sobre suplementos dietéticos e nutrição",44,s
auxserv_6_1_21_252,"Assessoria, consultoria e informação sobre técnicas para desenvolver a criatividade pessoal",45,s
auxserv_6_1_21_253,"Assessoria, consultoria e informação sobre testes de segurança de produtos para consumidores [testes de materiais]",42,s
auxserv_6_1_21_254,"Assessoria, consultoria e informação sobre testes psicológicos para seleção de pessoal",35,s
auxserv_6_1_21_255,"Assessoria, consultoria e informação sobre tributos, impostos e taxas",35,s
auxserv_6_1_21_256,"Assessoria, consultoria e informação técnica em serviço de alimentação",43,s
auxserv_6_1_21_257,"Assessoria, consultoria e informações e pesquisas no campo biológico",42,s
auxserv_6_1_21_258,"Assessoria, consultoria e informações estatísticas [Marketing]",35,s
auxserv_6_1_21_259,"Assessoria, consultoria e informações financeiras prestadas a investidores",36,s
auxserv_6_1_21_260,"Assessoria, consultoria e informações no campo da manutenção da segurança e integridade de banco de dados [serviço de 
informática]",42,s
auxserv_6_1_21_261,"Assessoria, consultoria e informações no campo de engenharia genética [referentes à medicina]",44,s
auxserv_6_1_21_262,"Assessoria, consultoria e informações no campo de processos tecnológicos",42,s
auxserv_6_1_21_263,"Assessoria, consultoria e informações no campo esotérico",45,s
auxserv_6_1_21_264,"Assessoria, consultoria e informações sobre administração de pessoal",35,s
auxserv_6_1_21_265,"Assessoria, consultoria e informações sobre aquacultura",44,s
auxserv_6_1_21_266,"Assessoria, consultoria e informações sobre arquitetura",42,s
auxserv_6_1_21_267,"Assessoria, consultoria e informações sobre artes gráficas",42,s
auxserv_6_1_21_268,"Assessoria, consultoria e informações sobre atuaria [avaliação e administração de riscos]",36,s
auxserv_6_1_21_269,"Assessoria, consultoria e informações sobre catalisadores [química]",42,s
auxserv_6_1_21_270,"Assessoria, consultoria e informações sobre compilação e interpretação da legislação aplicável [consultoria jurídica]",45,s
auxserv_6_1_21_271,"Assessoria, consultoria e informações sobre construção de estrutura predial [engenharia]",42,s
auxserv_6_1_21_272,"Assessoria, consultoria e informações sobre decoração de interiores",42,s
auxserv_6_1_21_273,"Assessoria, consultoria e informações sobre engenharia",42,s
auxserv_6_1_21_274,"Assessoria, consultoria e informações sobre engenharia industrial",42,s
auxserv_6_1_21_275,"Assessoria, consultoria e informações sobre florestamento e reflorestamento",44,s
auxserv_6_1_21_276,"Assessoria, consultoria e informações sobre franchising [gestão comercial]",35,s
auxserv_6_1_21_277,"Assessoria, consultoria e informações sobre gás [química]",42,s
auxserv_6_1_21_278,"Assessoria, consultoria e informações sobre investimento bancário",36,s
auxserv_6_1_21_279,"Assessoria, consultoria e informações sobre líquidos [química]",42,s
auxserv_6_1_21_280,"Assessoria, consultoria e informações sobre marketing",35,s
